IdentityFolder,Type,Image,Confidence,Status
ID000019_Andrea-Pirlo,Fake,1.jpg,0.9999,KEPT
ID000020_Andrew-Garfield,Real,01.jpg,0.9995,KEPT
ID000020_Andrew-Garfield,Real,02.jpg,0.9999,KEPT
ID000020_Andrew-Garfield,Fake,01.jpg,1.0000,KEPT
ID000020_Andrew-Garfield,Fake,02.jpg,1.0000,KEPT
ID000022_Angelina-Jolie,Real,01.jpg,0.9994,KEPT
ID000022_Angelina-Jolie,Real,02.jpg,1.0000,KEPT
ID000022_Angelina-Jolie,Real,03.jpg,0.9992,KEPT
ID000022_Angelina-Jolie,Fake,01.jpg,1.0000,KEPT
ID000022_Angelina-Jolie,Fake,02.jpg,1.0000,KEPT
ID000023_Anna-Faris,Real,01.jpg,0.9998,KEPT
ID000023_Anna-Faris,Fake,01.jpg,0.9948,KEPT
ID000023_Anna-Faris,Fake,02.jpg,0.9990,KEPT
ID000024_Anna-Wintour,Real,01.jpg,0.9929,KEPT
ID000024_Anna-Wintour,Real,02.jpg,0.9997,KEPT
ID000024_Anna-Wintour,Fake,02.jpg,0.9972,KEPT
ID000024_Anna-Wintour,Fake,03.jpg,1.0000,KEPT
ID000025_Anthony-Hopkins,Real,01.jpg,0.9998,KEPT
ID000025_Anthony-Hopkins,Real,02.jpg,1.0000,KEPT
ID000025_Anthony-Hopkins,Real,03.jpg,0.9991,KEPT
ID000025_Anthony-Hopkins,Fake,03.jpg,1.0000,KEPT
ID000025_Anthony-Hopkins,Fake,05.jpg,0.9999,KEPT
ID000026_Anthony-Edwards,Real,01.png,1.0000,KEPT
ID000026_Anthony-Edwards,Real,02.jpg,0.9999,KEPT
ID000026_Anthony-Edwards,Fake,01.jpg,1.0000,KEPT
ID000027_Antoine-Griezmann,Real,01.jpg,1.0000,KEPT
ID000027_Antoine-Griezmann,Real,02.png,1.0000,KEPT
ID000027_Antoine-Griezmann,Real,03.jpg,0.9999,KEPT
ID000027_Antoine-Griezmann,Fake,02.jpg,1.0000,KEPT
ID000027_Antoine-Griezmann,Fake,03.jpg,1.0000,KEPT
ID000028_Antonio-Banderas,Real,01.jpg,0.9999,KEPT
ID000028_Antonio-Banderas,Real,02.jpg,1.0000,KEPT
ID000028_Antonio-Banderas,Fake,05.png,0.9996,KEPT
ID000029_Antonio-Guterres,Real,01.jpg,1.0000,KEPT
ID000029_Antonio-Guterres,Fake,02.jpg,1.0000,KEPT
ID000030_Antony,Real,01.jpg,1.0000,KEPT
ID000030_Antony,Real,02.jpg,0.9999,KEPT
ID000030_Antony,Fake,02.jpg,0.9999,KEPT
ID000031_Arnold-Schwarzenegger,Real,01.jpg,1.0000,KEPT
ID000031_Arnold-Schwarzenegger,Fake,02.jpg,1.0000,KEPT
ID000032_Ashley-Judd,Real,01.jpg,0.9999,KEPT
ID000032_Ashley-Judd,Real,02.jpg,1.0000,KEPT
ID000032_Ashley-Judd,Fake,02.jpg,0.9999,KEPT
ID000032_Ashley-Judd,Fake,03.jpg,0.9999,KEPT
ID000033_Ashton-Kutcher,Real,01.jpg,0.9999,KEPT
ID000033_Ashton-Kutcher,Real,02.jpg,0.9998,KEPT
ID000033_Ashton-Kutcher,Fake,01.jpg,1.0000,KEPT
ID000034_Audrey-Hepburn,Real,01.jpg,1.0000,KEPT
ID000034_Audrey-Hepburn,Real,02.jpg,0.9975,KEPT
ID000034_Audrey-Hepburn,Real,03.jpg,1.0000,KEPT
ID000034_Audrey-Hepburn,Fake,01.jpg,0.9984,KEPT
ID000034_Audrey-Hepburn,Fake,02.jpg,0.9999,KEPT
ID000034_Audrey-Hepburn,Fake,03.jpg,1.0000,KEPT
ID000035_Audrey-Tautou,Real,01.jpg,0.9997,KEPT
ID000035_Audrey-Tautou,Real,02.jpg,0.9991,KEPT
ID000035_Audrey-Tautou,Fake,01.jpg,0.9997,KEPT
ID000035_Audrey-Tautou,Fake,03.jpg,0.9999,KEPT
ID000037_Babar-Azam,Real,01.jpg,0.9999,KEPT
ID000037_Babar-Azam,Real,02.png,0.9965,KEPT
ID000037_Babar-Azam,Fake,04.png,0.9998,KEPT
ID000038_Barack-obamam,Real,01.jpg,0.9999,KEPT
ID000038_Barack-obamam,Real,02.jpg,1.0000,KEPT
ID000038_Barack-obamam,Fake,02.jpg,0.9999,KEPT
ID000038_Barack-obamam,Fake,04.jpg,0.9996,KEPT
ID000038_Barack-obamam,Fake,05.png,1.0000,KEPT
ID000039_Bashar-al-Assad,Real,01.jpg,0.9999,KEPT
ID000039_Bashar-al-Assad,Real,02.jpg,0.9999,KEPT
ID000039_Bashar-al-Assad,Fake,02.jpg,0.9999,KEPT
ID000039_Bashar-al-Assad,Fake,03.jpg,1.0000,KEPT
ID000040_Ben-Affleck,Real,01.jpg,0.9999,KEPT
ID000040_Ben-Affleck,Fake,04.jpg,0.9999,KEPT
ID000042_Ben-Kingsley,Real,01.jpg,0.9988,KEPT
ID000042_Ben-Kingsley,Real,02.jpg,0.9979,KEPT
ID000042_Ben-Kingsley,Fake,01.jpg,0.9996,KEPT
ID000043_Benedict-Cumberbatch,Real,01.jpg,0.9981,KEPT
ID000043_Benedict-Cumberbatch,Real,02.jpg,1.0000,KEPT
ID000043_Benedict-Cumberbatch,Fake,01.jpg,1.0000,KEPT
ID000044_Benicio-del-Toro,Real,01.jpg,1.0000,KEPT
ID000044_Benicio-del-Toro,Real,02.jpg,1.0000,KEPT
ID000044_Benicio-del-Toro,Real,03.jpg,1.0000,KEPT
ID000044_Benicio-del-Toro,Fake,02.jpg,1.0000,KEPT
ID000044_Benicio-del-Toro,Fake,03.jpg,1.0000,KEPT
ID000045_Benjamin-Netanyahu,Real,01.jpg,0.9982,KEPT
ID000045_Benjamin-Netanyahu,Real,02.jpg,0.9999,KEPT
ID000045_Benjamin-Netanyahu,Real,03.jpg,0.9842,KEPT
ID000045_Benjamin-Netanyahu,Fake,05.jpg,1.0000,KEPT
ID000046_Benson-Boone,Real,01.png,0.9995,KEPT
ID000046_Benson-Boone,Real,02.jpg,0.9992,KEPT
ID000046_Benson-Boone,Fake,04.png,1.0000,KEPT
ID000047_Beyonacca,Real,01.png,0.9997,KEPT
ID000047_Beyonacca,Fake,01.png,1.0000,KEPT
ID000047_Beyonacca,Fake,02.jpg,1.0000,KEPT
ID000049_Billy-Bob-Thornton,Real,01.jpg,0.9999,KEPT
ID000049_Billy-Bob-Thornton,Real,02.jpg,0.9999,KEPT
ID000049_Billy-Bob-Thornton,Real,03.jpg,1.0000,KEPT
ID000049_Billy-Bob-Thornton,Fake,02.png,1.0000,KEPT
ID000051_Bob-Dylan,Real,01.jpg,0.9993,KEPT
ID000051_Bob-Dylan,Real,02.png,1.0000,KEPT
ID000051_Bob-Dylan,Fake,01.jpg,1.0000,KEPT
ID000051_Bob-Dylan,Fake,04.jpg,1.0000,KEPT
ID000052_Brad-Pitt,Real,01.jpg,0.9999,KEPT
ID000052_Brad-Pitt,Real,02.jpg,0.9997,KEPT
ID000052_Brad-Pitt,Real,03.jpg,1.0000,KEPT
ID000052_Brad-Pitt,Fake,01.jpg,1.0000,KEPT
ID000056_Burak-Özçivit,Real,01.jpg,0.9998,KEPT
ID000056_Burak-Özçivit,Fake,03.jpg,0.9998,KEPT
ID000057_Caitlin-Clark,Real,01.png,0.9999,KEPT
ID000057_Caitlin-Clark,Fake,02.jpg,0.9999,KEPT
ID000057_Caitlin-Clark,Fake,03.png,0.9998,KEPT
ID000058_Caleb-Williams,Real,01.png,1.0000,KEPT
ID000058_Caleb-Williams,Real,02.jpg,0.9999,KEPT
ID000058_Caleb-Williams,Fake,02.jpg,1.0000,KEPT
ID000058_Caleb-Williams,Fake,03.jpg,0.9999,KEPT
ID000059_Cameron-Diaz,Real,01.jpg,1.0000,KEPT
ID000059_Cameron-Diaz,Fake,01.jpg,1.0000,KEPT
ID000059_Cameron-Diaz,Fake,02.jpg,0.9999,KEPT
ID000059_Cameron-Diaz,Fake,03.jpg,0.9998,KEPT
ID000060_Cameron-Green,Real,01.jpg,0.9997,KEPT
ID000060_Cameron-Green,Fake,04.jpg,0.9995,KEPT
ID000061_Carey-Mulligan,Real,01.jpg,0.9987,KEPT
ID000061_Carey-Mulligan,Real,02.jpg,0.9999,KEPT
ID000061_Carey-Mulligan,Fake,01.png,0.9999,KEPT
ID000064_Carrie-Anne-Moss,Real,01.jpg,1.0000,KEPT
ID000064_Carrie-Anne-Moss,Real,02.jpg,0.9990,KEPT
ID000064_Carrie-Anne-Moss,Real,03.jpg,1.0000,KEPT
ID000064_Carrie-Anne-Moss,Fake,01.jpg,1.0000,KEPT
ID000064_Carrie-Anne-Moss,Fake,02.jpg,0.9951,KEPT
ID000065_Charles-Chaplin,Real,01.jpg,0.9999,KEPT
ID000065_Charles-Chaplin,Real,02.jpg,0.9999,KEPT
ID000065_Charles-Chaplin,Fake,01.jpg,0.9917,KEPT
ID000065_Charles-Chaplin,Fake,02.jpg,0.9992,KEPT
ID000065_Charles-Chaplin,Fake,03.jpg,0.9997,KEPT
ID000066_Charlize-Theron,Real,01.jpg,0.9998,KEPT
ID000066_Charlize-Theron,Real,02.jpg,0.9998,KEPT
ID000066_Charlize-Theron,Real,03.jpg,0.9999,KEPT
ID000066_Charlize-Theron,Fake,04.jpg,1.0000,KEPT
ID000067_Charlton-Heston,Real,01.jpg,1.0000,KEPT
ID000067_Charlton-Heston,Real,02.jpg,0.9949,KEPT
ID000067_Charlton-Heston,Fake,01.jpg,0.9999,KEPT
ID000068_Chloe-Kim,Real,01.jpg,0.9999,KEPT
ID000068_Chloe-Kim,Real,02.png,1.0000,KEPT
ID000068_Chloe-Kim,Fake,02.png,0.9986,KEPT
ID000069_Chlo-Grace-Moretz,Real,01.jpg,1.0000,KEPT
ID000069_Chlo-Grace-Moretz,Real,02.jpg,1.0000,KEPT
ID000069_Chlo-Grace-Moretz,Real,03.jpg,0.9916,KEPT
ID000069_Chlo-Grace-Moretz,Fake,03.jpg,0.9991,KEPT
ID000072_Christian-Bale,Real,01.jpg,0.9999,KEPT
ID000072_Christian-Bale,Fake,05.jpg,1.0000,KEPT
ID000074_Christopher-Walken,Real,01.jpg,0.9999,KEPT
ID000074_Christopher-Walken,Real,02.jpg,0.9993,KEPT
ID000074_Christopher-Walken,Real,03.jpg,0.9994,KEPT
ID000074_Christopher-Walken,Fake,05.jpg,0.9992,KEPT
ID000075_Christopher-Nolan,Real,01.jpg,1.0000,KEPT
ID000075_Christopher-Nolan,Real,02.jpg,1.0000,KEPT
ID000075_Christopher-Nolan,Real,03.jpg,1.0000,KEPT
ID000075_Christopher-Nolan,Fake,02.jpg,0.9999,KEPT
ID000076_Clint-Eastwood,Real,01.jpg,1.0000,KEPT
ID000076_Clint-Eastwood,Real,02.jpg,0.9994,KEPT
ID000076_Clint-Eastwood,Fake,02.jpg,1.0000,KEPT
ID000076_Clint-Eastwood,Fake,03.jpg,0.9999,KEPT
ID000078_Cristanio-Ronaldo,Real,01.jpg,0.9998,KEPT
ID000078_Cristanio-Ronaldo,Real,02.jpg,0.9989,KEPT
ID000078_Cristanio-Ronaldo,Fake,04.png,1.0000,KEPT
ID000079_Dan-Aykroyd,Real,01.jpg,1.0000,KEPT
ID000079_Dan-Aykroyd,Real,02.jpg,0.9991,KEPT
ID000079_Dan-Aykroyd,Fake,01.jpg,1.0000,KEPT
ID000080_Daniel-Day-Lewis,Real,01.jpg,0.9997,KEPT
ID000080_Daniel-Day-Lewis,Real,02.jpg,0.9998,KEPT
ID000080_Daniel-Day-Lewis,Fake,03.jpg,0.9979,KEPT
ID000081_Daniel-Radcliffe,Real,01.jpg,1.0000,KEPT
ID000081_Daniel-Radcliffe,Real,02.jpg,1.0000,KEPT
ID000081_Daniel-Radcliffe,Fake,01.jpg,1.0000,KEPT
ID000082_Dasun-Shanaka,Real,01.webp,1.0000,KEPT
ID000082_Dasun-Shanaka,Real,02.png,0.9996,KEPT
ID000082_Dasun-Shanaka,Fake,1.png,1.0000,KEPT
ID000084_David-Miller,Real,01.png,0.9999,KEPT
ID000084_David-Miller,Fake,02.jpg,0.9997,KEPT
ID000085_Demet-Özdemir,Real,01.jpg,1.0000,KEPT
ID000085_Demet-Özdemir,Real,02.jpg,0.9997,KEPT
ID000085_Demet-Özdemir,Fake,01.jpg,0.9999,KEPT
ID000085_Demet-Özdemir,Fake,02.png,0.9999,KEPT
ID000086_Derrick-Henry,Real,01.png,1.0000,KEPT
ID000086_Derrick-Henry,Fake,01.jpg,1.0000,KEPT
ID000086_Derrick-Henry,Fake,02.jpg,1.0000,KEPT
ID000087_Devon-Conway,Real,01.png,1.0000,KEPT
ID000087_Devon-Conway,Real,02.webp,0.9995,KEPT
ID000087_Devon-Conway,Fake,1.jpg,0.9998,DISCARDED_FACE_TOO_SMALL
ID000090_Domhnall-Gleeson,Real,01.jpg,1.0000,KEPT
ID000090_Domhnall-Gleeson,Real,02.jpg,0.9994,KEPT
ID000090_Domhnall-Gleeson,Fake,03.jpg,1.0000,KEPT
ID000090_Domhnall-Gleeson,Fake,04.jpg,1.0000,KEPT
ID000092_Dwayne-Johnson,Real,01.png,0.9998,KEPT
ID000092_Dwayne-Johnson,Real,02.jpg,1.0000,KEPT
ID000092_Dwayne-Johnson,Fake,04.jpg,1.0000,KEPT
ID000093_Dylan-O,Real,01.jpg,0.9999,KEPT
ID000093_Dylan-O,Fake,01.jpg,0.9992,KEPT
ID000093_Dylan-O,Fake,02.jpg,1.0000,KEPT
ID000094_Dylan-Dreyer,Real,01.jpg,0.9994,KEPT
ID000094_Dylan-Dreyer,Fake,images (1).jpg,0.9994,KEPT
ID000094_Dylan-Dreyer,Fake,images.jpg,1.0000,KEPT
ID000096_Elizabeth-Banks,Real,01.jpg,0.9812,KEPT
ID000096_Elizabeth-Banks,Real,02.jpg,0.9998,KEPT
ID000096_Elizabeth-Banks,Fake,02.jpg,1.0000,KEPT
ID000097_Elizabeth-Taylor,Real,01.jpg,1.0000,KEPT
ID000097_Elizabeth-Taylor,Real,02.jpg,0.9890,KEPT
ID000097_Elizabeth-Taylor,Fake,02.jpg,1.0000,KEPT
ID000098_Ellyse-Perry,Real,01.jpg,0.9994,KEPT
ID000098_Ellyse-Perry,Real,02.jpg,1.0000,KEPT
ID000098_Ellyse-Perry,Fake,2.jpg,1.0000,KEPT
ID000099_Elon-Musk,Real,01.png,0.9997,KEPT
ID000099_Elon-Musk,Fake,03.png,1.0000,KEPT
ID000100_Emily-Blunt,Real,01.jpg,1.0000,KEPT
ID000100_Emily-Blunt,Fake,02.jpg,1.0000,KEPT
ID000100_Emily-Blunt,Fake,04.jpg,0.9989,KEPT
ID000101_Emma-Roberts,Real,01.jpg,1.0000,KEPT
ID000101_Emma-Roberts,Real,02.jpg,0.9849,KEPT
ID000101_Emma-Roberts,Fake,01.jpg,1.0000,KEPT
ID000101_Emma-Roberts,Fake,05.jpg,0.9999,KEPT
ID000103_Emma-Watson,Real,01.jpg,0.9969,KEPT
ID000103_Emma-Watson,Real,02.jpg,0.9998,KEPT
ID000103_Emma-Watson,Real,03.jpg,0.9998,KEPT
ID000103_Emma-Watson,Fake,56.png,0.9999,KEPT
ID000104_Emma-Mackey,Real,01.jpg,0.9999,KEPT
ID000104_Emma-Mackey,Real,02.jpg,1.0000,KEPT
ID000104_Emma-Mackey,Fake,04.jpg,0.9996,KEPT
ID000105_Engin_Altan,Real,01.jpg,1.0000,KEPT
ID000105_Engin_Altan,Real,02.jpg,1.0000,KEPT
ID000105_Engin_Altan,Real,03.jpg,0.9994,KEPT
ID000105_Engin_Altan,Fake,01.png,1.0000,KEPT
ID000108_Eugenio-Derbez,Real,01.png,1.0000,KEPT
ID000108_Eugenio-Derbez,Real,02.jpg,0.9999,KEPT
ID000108_Eugenio-Derbez,Real,03.jpg,1.0000,KEPT
ID000108_Eugenio-Derbez,Fake,03.jpg,1.0000,KEPT
ID000108_Eugenio-Derbez,Fake,04.png,1.0000,KEPT
ID000109_Eva-Green,Real,01.jpg,1.0000,KEPT
ID000109_Eva-Green,Fake,01.jpg,1.0000,KEPT
ID000109_Eva-Green,Fake,02.jpg,1.0000,KEPT
ID000110_Eva-Mendes,Real,01.jpg,0.9952,KEPT
ID000110_Eva-Mendes,Real,02.jpg,1.0000,KEPT
ID000110_Eva-Mendes,Fake,01.jpg,1.0000,KEPT
ID000110_Eva-Mendes,Fake,02.jpg,0.9999,KEPT
ID000110_Eva-Mendes,Fake,03.jpg,0.9999,KEPT
ID000111_Ewan-McGregor,Real,01.jpg,1.0000,KEPT
ID000111_Ewan-McGregor,Real,02.jpg,1.0000,KEPT
ID000111_Ewan-McGregor,Real,03.jpg,1.0000,KEPT
ID000111_Ewan-McGregor,Fake,01.jpg,1.0000,KEPT
ID000112_Fawad-Khan,Real,01.jpg,0.9999,KEPT
ID000112_Fawad-Khan,Real,02.jpg,1.0000,KEPT
ID000112_Fawad-Khan,Fake,02.png,0.9999,KEPT
ID000113_Faye-Dunaway,Real,01.jpg,0.9999,KEPT
ID000113_Faye-Dunaway,Fake,03.jpg,0.9999,KEPT
ID000113_Faye-Dunaway,Fake,04.jpg,1.0000,KEPT
ID000114_Florian-Wirtz,Real,01.jpg,0.9999,KEPT
ID000114_Florian-Wirtz,Real,1.jpg,1.0000,KEPT
ID000114_Florian-Wirtz,Fake,05.jpg,0.9984,KEPT
ID000116_G-Dragon,Real,01.jpg,1.0000,KEPT
ID000116_G-Dragon,Real,02.jpg,1.0000,KEPT
ID000116_G-Dragon,Real,03.jpg,0.9998,DISCARDED_FACE_TOO_SMALL
ID000116_G-Dragon,Fake,02.png,1.0000,KEPT
ID000117_Gabriel-Boric,Real,01.jpg,0.9997,KEPT
ID000117_Gabriel-Boric,Real,02.jpg,1.0000,KEPT
ID000117_Gabriel-Boric,Fake,01.png,1.0000,KEPT
ID000118_Gene-Hackman,Real,01.jpg,1.0000,KEPT
ID000118_Gene-Hackman,Real,02.jpg,0.9995,KEPT
ID000118_Gene-Hackman,Real,03.jpg,1.0000,KEPT
ID000118_Gene-Hackman,Fake,03.jpg,0.9999,KEPT
ID000119_Gene-Wilder,Real,01.jpg,0.9998,KEPT
ID000119_Gene-Wilder,Real,02.jpg,1.0000,KEPT
ID000119_Gene-Wilder,Real,03.jpg,0.9948,KEPT
ID000119_Gene-Wilder,Fake,01.jpg,0.9997,KEPT
ID000119_Gene-Wilder,Fake,02.jpg,0.9999,KEPT
ID000121_George-Clooney,Real,01.jpg,0.9999,KEPT
ID000121_George-Clooney,Real,02.jpg,0.9996,KEPT
ID000121_George-Clooney,Real,03.png,0.9998,KEPT
ID000121_George-Clooney,Fake,01.jpg,1.0000,KEPT
ID000121_George-Clooney,Fake,04.jpg,0.9998,KEPT
ID000122_Gerard-Butler,Real,01.jpg,1.0000,KEPT
ID000122_Gerard-Butler,Real,02.jpg,0.9998,KEPT
ID000122_Gerard-Butler,Fake,01.jpg,1.0000,KEPT
ID000123_Giorgia-Meloni,Real,01.jpg,0.9952,KEPT
ID000123_Giorgia-Meloni,Real,02.jpg,1.0000,KEPT
ID000123_Giorgia-Meloni,Fake,02.jpg,0.9994,KEPT
ID000124_Glenn-Close,Real,01.jpg,1.0000,KEPT
ID000124_Glenn-Close,Real,02.jpg,0.9996,KEPT
ID000124_Glenn-Close,Real,03.jpg,0.9999,KEPT
ID000124_Glenn-Close,Fake,03.jpg,0.9990,KEPT
ID000127_Gregory-Peck,Real,01.jpg,0.9999,KEPT
ID000127_Gregory-Peck,Fake,01.jpg,1.0000,KEPT
ID000128_Guy-Pearce,Real,01.jpg,1.0000,KEPT
ID000128_Guy-Pearce,Fake,05.jpg,1.0000,KEPT
ID000129_Grard-Depardieu,Real,01.jpg,1.0000,KEPT
ID000129_Grard-Depardieu,Fake,01.jpg,1.0000,KEPT
ID000129_Grard-Depardieu,Fake,03.jpg,1.0000,KEPT
ID000130_Hadika-Kyani,Real,01.jpg,0.9998,KEPT
ID000130_Hadika-Kyani,Fake,01.png,1.0000,KEPT
ID000131_Halle-Berry,Real,01.jpg,0.9999,KEPT
ID000131_Halle-Berry,Real,02.jpg,0.9982,KEPT
ID000131_Halle-Berry,Fake,02.jpg,0.9992,KEPT
ID000132_Hande-Ercel,Real,01.jpg,1.0000,KEPT
ID000132_Hande-Ercel,Real,02.jpg,0.9995,KEPT
ID000132_Hande-Ercel,Fake,01.jpg,1.0000,KEPT
ID000132_Hande-Ercel,Fake,04.png,0.9985,KEPT
ID000133_Hania-Amir,Real,01.jpg,1.0000,KEPT
ID000133_Hania-Amir,Real,02.jpg,0.9999,KEPT
ID000133_Hania-Amir,Fake,01.jpg,0.9993,KEPT
ID000133_Hania-Amir,Fake,05.png,0.9999,KEPT
ID000134_Hannah-Stocking,Real,01.png,1.0000,KEPT
ID000134_Hannah-Stocking,Real,02.jpg,0.9992,KEPT
ID000134_Hannah-Stocking,Fake,03.jpg,0.9992,KEPT
ID000136_Harry-Kane,Real,01.jpg,0.9995,KEPT
ID000136_Harry-Kane,Fake,01.jpg,1.0000,KEPT
ID000136_Harry-Kane,Fake,03.png,0.9999,KEPT
ID000137_Heath-Ledger,Real,01.jpg,1.0000,KEPT
ID000137_Heath-Ledger,Real,02.jpg,1.0000,KEPT
ID000137_Heath-Ledger,Real,03.jpg,1.0000,KEPT
ID000137_Heath-Ledger,Fake,04.jpg,0.9997,KEPT
ID000138_Helen-Mirren,Real,01.jpg,0.9903,KEPT
ID000138_Helen-Mirren,Real,02.jpg,0.9983,KEPT
ID000138_Helen-Mirren,Fake,05.jpg,0.9983,KEPT
ID000140_Hilary-Duff,Real,01.jpg,0.9996,KEPT
ID000140_Hilary-Duff,Fake,01.jpg,0.9999,KEPT
ID000140_Hilary-Duff,Fake,02.jpg,1.0000,KEPT
ID000141_Hiroyuki-Sanada,Real,01.jpg,1.0000,KEPT
ID000141_Hiroyuki-Sanada,Real,02.jpg,0.9998,KEPT
ID000141_Hiroyuki-Sanada,Fake,01.png,1.0000,KEPT
ID000141_Hiroyuki-Sanada,Fake,02.jpg,0.9996,KEPT
ID000143_Humphrey-Bogart,Real,01.jpg,0.9958,KEPT
ID000143_Humphrey-Bogart,Real,02.jpg,0.9988,KEPT
ID000143_Humphrey-Bogart,Real,03.jpg,0.9998,KEPT
ID000143_Humphrey-Bogart,Fake,01.jpg,0.9999,KEPT
ID000143_Humphrey-Bogart,Fake,02.jpg,0.9988,KEPT
ID000144_ID000582-Nicole-Kidman,Real,01.jpg,0.9985,KEPT
ID000144_ID000582-Nicole-Kidman,Real,02.png,1.0000,KEPT
ID000144_ID000582-Nicole-Kidman,Fake,02.jpg,0.9981,KEPT
ID000144_ID000582-Nicole-Kidman,Fake,05.png,1.0000,KEPT
ID000145_IU,Real,01.jpg,0.9981,KEPT
ID000145_IU,Fake,01.jpg,0.9994,KEPT
ID000146_Ibrahim-Traoré,Real,01.jpg,0.9997,KEPT
ID000146_Ibrahim-Traoré,Fake,02.jpg,0.9993,KEPT
ID000148_Imane-Anys-Pokimane,Real,01.jpg,0.9998,KEPT
ID000148_Imane-Anys-Pokimane,Fake,01.jpg,1.0000,KEPT
ID000149_Imran-Kahn,Real,01.jpg,1.0000,KEPT
ID000149_Imran-Kahn,Real,02.jpg,1.0000,KEPT
ID000149_Imran-Kahn,Fake,06.png,1.0000,KEPT
ID000150_Inde-Navarrette,Real,01.jpg,0.9897,KEPT
ID000150_Inde-Navarrette,Real,02.jpg,1.0000,KEPT
ID000150_Inde-Navarrette,Real,03.jpg,1.0000,KEPT
ID000150_Inde-Navarrette,Fake,03.jpg,1.0000,KEPT
ID000151_Ioan-Gruffudd,Real,01.jpg,0.9998,KEPT
ID000151_Ioan-Gruffudd,Real,02.jpg,0.9999,KEPT
ID000151_Ioan-Gruffudd,Fake,02.jpg,1.0000,KEPT
ID000152_Iqra-Kanwal,Real,01.jpg,1.0000,KEPT
ID000152_Iqra-Kanwal,Real,02.jpg,0.9975,KEPT
ID000152_Iqra-Kanwal,Fake,04.png,0.9985,KEPT
ID000154_Ishan-Kishan,Real,01.jpg,1.0000,KEPT
ID000154_Ishan-Kishan,Real,01.png,1.0000,KEPT
ID000154_Ishan-Kishan,Real,images (2).jpg,1.0000,KEPT
ID000154_Ishan-Kishan,Fake,images (1).jpg,1.0000,KEPT
ID000154_Ishan-Kishan,Fake,images.jpg,1.0000,KEPT
ID000155_Jack-Lemmon,Real,01.jpg,0.9937,KEPT
