# Selected 3000 real images (seed=42)
# dry_run=False
# stem, original_filename, generator_used_in_DiffFace_A
29724_Harry_Shearer, 29724_Harry_Shearer.jpg, PNDM
10417_Marie_Laforet, 10417_Marie_Laforet.jpg, PNDM
7353_Julie_Freidman, 7353_Julie_Freidman.jpg, LDM
8804_Shannon_Lucio, 8804_Shannon_Lucio.jpg, ADM
14075_Melanie_Alexander, 14075_Melanie_Alexander.jpg, ADM
7406_Yesica_Toscanini, 7406_Yesica_Toscanini.jpg, ADM
29137_Marcelle_Bittar, 29137_Marcelle_Bittar.jpg, DDPM
9884_Tamara_Ecclestone, 9884_Tamara_Ecclestone.jpg, PNDM
19489_James_Blunt, 19489_James_Blunt.jpg, ADM
5908_David_Foster, 5908_David_Foster.jpg, PNDM
22113_Jessica_Ginkel, 22113_Jessica_Ginkel.jpg, PNDM
13974_Annemarie_Warnkross, 13974_Annemarie_Warnkross.jpg, DDPM
20424_Tim_Gunn, 20424_Tim_Gunn.jpg, LDM
25476_Paulina_Stanek, 25476_Paulina_Stanek.jpg, ADM
15632_Mariana_Rios, 15632_Mariana_Rios.jpg, DDPM
26138_Zoey_Deutch, 26138_Zoey_Deutch.jpg, LDM
10121_Inguna_Butane, 10121_Inguna_Butane.jpg, LDM
8852_Iris_Berben, 8852_Iris_Berben.jpg, ADM
8767_Jacqui_Ainsley, 8767_Jacqui_Ainsley.jpg, PNDM
19366_Kate_Nash, 19366_Kate_Nash.jpg, DDIM
27831_Ana_Lucia_Dominguez, 27831_Ana_Lucia_Dominguez.jpg, PNDM
16346_Bruce_Greenwood, 16346_Bruce_Greenwood.jpg, PNDM
28092_Cody_Linley, 28092_Cody_Linley.jpg, DDIM
13795_Sonya_Kraus, 13795_Sonya_Kraus.jpg, LDM
5357_Angela_Little, 5357_Angela_Little.jpg, DDIM
20605_Alexis_Dziena, 20605_Alexis_Dziena.jpg, DDIM
583_Beverley_Knight, 583_Beverley_Knight.jpg, DDPM
4776_Mariacarla_Boscono, 4776_Mariacarla_Boscono.jpg, DDPM
17079_Naturi_Naughton, 17079_Naturi_Naughton.jpg, DDPM
23300_Susan_Hoecke, 23300_Susan_Hoecke.jpg, LDM
15753_Kira_Miro, 15753_Kira_Miro.jpg, DDIM
29225_Paul_Giamatti, 29225_Paul_Giamatti.jpg, ADM
28906_Cora_Schumacher, 28906_Cora_Schumacher.jpg, DDIM
10020_Alexa_Chung, 10020_Alexa_Chung.jpg, LDM
4407_Delta_Goodrem, 4407_Delta_Goodrem.jpg, DDPM
21531_Yukie_Kawamura, 21531_Yukie_Kawamura.jpg, LDM
27384_Sheila_Marquez, 27384_Sheila_Marquez.jpg, DDPM
10701_Jacqueline_Fernandez, 10701_Jacqueline_Fernandez.jpg, LDM
13984_David_Conrad, 13984_David_Conrad.jpg, ADM
22904_Meredith_Vieira, 22904_Meredith_Vieira.jpg, DDPM
20939_Leah_Pipes, 20939_Leah_Pipes.jpg, DDPM
18526_Eugenia_Silva, 18526_Eugenia_Silva.jpg, DDIM
12073_Silvia_Colloca, 12073_Silvia_Colloca.jpg, LDM
18578_Catrinel_Menghia, 18578_Catrinel_Menghia.jpg, PNDM
3241_Ariana_Grande, 3241_Ariana_Grande.jpg, PNDM
12832_Mark_McGrath, 12832_Mark_McGrath.jpg, DDIM
13072_Maggi_Caruthers, 13072_Maggi_Caruthers.jpg, LDM
9212_Yvonne_De_Carlo, 9212_Yvonne_De_Carlo.jpg, ADM
27283_Kenton_Duty, 27283_Kenton_Duty.jpg, DDIM
124_Donna_Summer, 124_Donna_Summer.jpg, DDPM
28994_Paul_Reubens, 28994_Paul_Reubens.jpg, ADM
14478_Bill_Kaulitz, 14478_Bill_Kaulitz.jpg, LDM
14565_Steve_Jobs, 14565_Steve_Jobs.jpg, DDPM
6593_Sarah_Jackson, 6593_Sarah_Jackson.jpg, PNDM
26903_Bill_Daily, 26903_Bill_Daily.jpg, LDM
29601_Bobby_Edner, 29601_Bobby_Edner.jpg, DDPM
15880_Ashley_Hinshaw, 15880_Ashley_Hinshaw.jpg, LDM
19425_Davy_Jones, 19425_Davy_Jones.jpg, DDPM
28811_Colin_Egglesfield, 28811_Colin_Egglesfield.jpg, LDM
4684_Facundo_Arana, 4684_Facundo_Arana.jpg, PNDM
25067_Mike_Epps, 25067_Mike_Epps.jpg, DDIM
17550_Olly_Murs, 17550_Olly_Murs.jpg, DDPM
29222_Amanda_De_Cadenet, 29222_Amanda_De_Cadenet.jpg, DDPM
9141_Camille_Grammer, 9141_Camille_Grammer.jpg, PNDM
7699_Kelly_Packard, 7699_Kelly_Packard.jpg, DDIM
17154_Joshua_Bowman, 17154_Joshua_Bowman.jpg, LDM
8533_Karl_Lagerfeld, 8533_Karl_Lagerfeld.jpg, DDPM
21087_Sade, 21087_Sade.jpg, DDIM
24187_Monique_Parent, 24187_Monique_Parent.jpg, LDM
7034_Jason_Momoa, 7034_Jason_Momoa.jpg, DDPM
23286_Harman_Baweja, 23286_Harman_Baweja.jpg, DDPM
25606_Brandon_Davis, 25606_Brandon_Davis.jpg, LDM
28440_Esha_Gupta, 28440_Esha_Gupta.jpg, PNDM
26064_Daga_Ziober, 26064_Daga_Ziober.jpg, DDIM
14305_James_Kyson-Lee, 14305_James_Kyson-Lee.jpg, DDPM
1882_Jane_Levy, 1882_Jane_Levy.jpg, LDM
18007_Corinne_Bailey_Rae, 18007_Corinne_Bailey_Rae.jpg, DDPM
12295_Benjamin_Millepied, 12295_Benjamin_Millepied.jpg, LDM
22034_Jorge_Garcia, 22034_Jorge_Garcia.jpg, DDPM
10756_Adam_Irigoyen, 10756_Adam_Irigoyen.jpg, ADM
4009_Natasza_Urbanska, 4009_Natasza_Urbanska.jpg, PNDM
29750_Bara_Holotova, 29750_Bara_Holotova.jpg, DDIM
18199_Fred_MacMurray, 18199_Fred_MacMurray.jpg, PNDM
4013_Natalie_Neidhart, 4013_Natalie_Neidhart.jpg, PNDM
17842_Jennifer_Hawkins, 17842_Jennifer_Hawkins.jpg, DDIM
10262_Janine_Habeck, 10262_Janine_Habeck.jpg, PNDM
1255_Nora_Zehetner, 1255_Nora_Zehetner.jpg, ADM
8348_Ke$ha, 8348_Ke$ha.jpg, LDM
5557_Monica_Cruz, 5557_Monica_Cruz.jpg, DDIM
12104_Felicitas_Woll, 12104_Felicitas_Woll.jpg, LDM
1815_Sam_Witwer, 1815_Sam_Witwer.jpg, DDPM
12434_Elisabeth_Van_Tergouw, 12434_Elisabeth_Van_Tergouw.jpg, ADM
11125_Ritesh_Deshmukh, 11125_Ritesh_Deshmukh.jpg, LDM
21757_Maurice_Chevalier, 21757_Maurice_Chevalier.jpg, LDM
12554_Elise_Crombez, 12554_Elise_Crombez.jpg, DDIM
28317_Vail_Bloom, 28317_Vail_Bloom.jpg, DDPM
18473_Mark_Zuckerberg, 18473_Mark_Zuckerberg.jpg, DDIM
1988_Deborah_Ann_Woll, 1988_Deborah_Ann_Woll.jpg, DDPM
6939_Cerina_Vincent, 6939_Cerina_Vincent.jpg, DDIM
27264_Siri_Tollerod, 27264_Siri_Tollerod.jpg, LDM
17636_Deanna_Pappas, 17636_Deanna_Pappas.jpg, LDM
2921_Anna_Belknap, 2921_Anna_Belknap.jpg, ADM
14714_Catherine_Spaak, 14714_Catherine_Spaak.jpg, LDM
8894_Delta_Goodrem, 8894_Delta_Goodrem.jpg, PNDM
3381_Patricia_Kazadi, 3381_Patricia_Kazadi.jpg, LDM
356_Carlos_Ponce, 356_Carlos_Ponce.jpg, PNDM
26807_Daryl_Hall, 26807_Daryl_Hall.jpg, LDM
18650_Gregg_Sulkin, 18650_Gregg_Sulkin.jpg, PNDM
2681_Agnes_Carlsson, 2681_Agnes_Carlsson.jpg, PNDM
24481_Chris_ODonnell, 24481_Chris_ODonnell.jpg, LDM
16776_Laura_Harris, 16776_Laura_Harris.jpg, PNDM
13373_Cora_Skinner, 13373_Cora_Skinner.jpg, ADM
1346_Masiela_Lusha, 1346_Masiela_Lusha.jpg, DDPM
6568_Maryla_Rodowicz, 6568_Maryla_Rodowicz.jpg, PNDM
2534_Pippa_Middleton, 2534_Pippa_Middleton.jpg, PNDM
22607_Ekaterina_Vilkova, 22607_Ekaterina_Vilkova.jpg, ADM
25083_Christian_Serratos, 25083_Christian_Serratos.jpg, ADM
24639_William_Boyd, 24639_William_Boyd.jpg, DDIM
26604_Lisa_Marie_Scott, 26604_Lisa_Marie_Scott.jpg, DDPM
910_Sara_Carbonero, 910_Sara_Carbonero.jpg, DDIM
11936_Lou_Doillon, 11936_Lou_Doillon.jpg, PNDM
70_Alexandra_Holden, 70_Alexandra_Holden.jpg, ADM
6365_Alejandra_Lazcano, 6365_Alejandra_Lazcano.jpg, PNDM
6101_Jasmin_Wagner, 6101_Jasmin_Wagner.jpg, LDM
13520_Danica_McKellar, 13520_Danica_McKellar.jpg, DDPM
12172_Rocio_Igarzabal, 12172_Rocio_Igarzabal.jpg, LDM
24321_Victoria_Justice, 24321_Victoria_Justice.jpg, ADM
9074_Agnes_Dobo, 9074_Agnes_Dobo.jpg, ADM
22080_Jenny_Agutter, 22080_Jenny_Agutter.jpg, ADM
13891_Snejana_Onopka, 13891_Snejana_Onopka.jpg, DDPM
18855_Quentin_Tarantino, 18855_Quentin_Tarantino.jpg, DDIM
16819_Millie_Mackintosh, 16819_Millie_Mackintosh.jpg, PNDM
1676_Cassie_Scerbo, 1676_Cassie_Scerbo.jpg, PNDM
29116_Colleen_Townsend, 29116_Colleen_Townsend.jpg, PNDM
25966_Shelley_Long, 25966_Shelley_Long.jpg, PNDM
14995_Leeza_Gibbons, 14995_Leeza_Gibbons.jpg, PNDM
25019_Maggi_Caruthers, 25019_Maggi_Caruthers.jpg, DDIM
16526_Irish_McCalla, 16526_Irish_McCalla.jpg, LDM
19891_Boris_Karloff, 19891_Boris_Karloff.jpg, DDPM
26448_Paul_Adelstein, 26448_Paul_Adelstein.jpg, LDM
18899_Austin_Carlile, 18899_Austin_Carlile.jpg, LDM
12714_Kate_Elson, 12714_Kate_Elson.jpg, PNDM
25775_Yoona, 25775_Yoona.jpg, PNDM
29621_Kristin_Lehman, 29621_Kristin_Lehman.jpg, DDIM
13504_Joey_King, 13504_Joey_King.jpg, DDPM
11814_Johnny_Messner, 11814_Johnny_Messner.jpg, ADM
6313_Annie_Wersching, 6313_Annie_Wersching.jpg, LDM
2926_Joey_King, 2926_Joey_King.jpg, ADM
10537_Natalie_Paris, 10537_Natalie_Paris.jpg, DDPM
13337_Huey_Lewis, 13337_Huey_Lewis.jpg, LDM
9971_Michel_Brown, 9971_Michel_Brown.jpg, ADM
18420_Daisy_Betts, 18420_Daisy_Betts.jpg, ADM
1591_Ann_Coulter, 1591_Ann_Coulter.jpg, DDIM
24458_Ann_Coulter, 24458_Ann_Coulter.jpg, DDPM
27272_Kenny_G, 27272_Kenny_G.jpg, DDPM
27112_Viva_Bianca, 27112_Viva_Bianca.jpg, DDPM
1761_Alison_Eastwood, 1761_Alison_Eastwood.jpg, LDM
24267_Andre_3000_Andre_Benjamin, 24267_Andre_3000_Andre_Benjamin.jpg, DDIM
12097_Elina_Kantza, 12097_Elina_Kantza.jpg, PNDM
15861_Diego_Child, 15861_Diego_Child.jpg, LDM
23485_Hilary_Swank, 23485_Hilary_Swank.jpg, DDPM
1007_Dick_Butkus, 1007_Dick_Butkus.jpg, LDM
23892_Brenda_Strong, 23892_Brenda_Strong.jpg, ADM
19432_Sanjay_Dutt, 19432_Sanjay_Dutt.jpg, LDM
26184_Cary_Elwes, 26184_Cary_Elwes.jpg, LDM
20140_Deborah_Raffin, 20140_Deborah_Raffin.jpg, DDPM
25062_Harry_Shum_Jr, 25062_Harry_Shum_Jr.jpg, ADM
7946_Lolo_Jones, 7946_Lolo_Jones.jpg, DDPM
9162_Lacuna_Coil, 9162_Lacuna_Coil.jpg, ADM
29818_Kerri_Walsh, 29818_Kerri_Walsh.jpg, ADM
6672_Susan_Dey, 6672_Susan_Dey.jpg, ADM
8721_Jared_Murillo, 8721_Jared_Murillo.jpg, DDPM
27310_Nina_Bott, 27310_Nina_Bott.jpg, ADM
15508_Ashley_Massaro, 15508_Ashley_Massaro.jpg, DDIM
1675_Daniella_Monet, 1675_Daniella_Monet.jpg, DDIM
20545_Nelsan_Ellis, 20545_Nelsan_Ellis.jpg, PNDM
17757_Barry_Manilow, 17757_Barry_Manilow.jpg, DDIM
12092_Madison_Pettis, 12092_Madison_Pettis.jpg, PNDM
3678_Annie_Wersching, 3678_Annie_Wersching.jpg, DDIM
9342_Amaia_Salamanca, 9342_Amaia_Salamanca.jpg, DDPM
29329_Anya_Monzikova, 29329_Anya_Monzikova.jpg, PNDM
12182_Mariacarla_Boscono, 12182_Mariacarla_Boscono.jpg, LDM
9772_Anushka_Sharma, 9772_Anushka_Sharma.jpg, LDM
21159_Robert_Hossein, 21159_Robert_Hossein.jpg, DDIM
12041_Chiara_Baschetti, 12041_Chiara_Baschetti.jpg, LDM
11799_Barbara_Brylska, 11799_Barbara_Brylska.jpg, DDIM
3859_Peyton_List, 3859_Peyton_List.jpg, DDIM
26957_Megumi_Yasu, 26957_Megumi_Yasu.jpg, LDM
27907_Leon_Thomas_III, 27907_Leon_Thomas_III.jpg, LDM
28934_Diego_Forlan, 28934_Diego_Forlan.jpg, ADM
15603_Chris_Lowell, 15603_Chris_Lowell.jpg, PNDM
12032_Mark_Bautista, 12032_Mark_Bautista.jpg, DDIM
28098_Francesca_Eastwood, 28098_Francesca_Eastwood.jpg, LDM
12876_Coleen_Gray, 12876_Coleen_Gray.jpg, PNDM
16611_John_Stamos, 16611_John_Stamos.jpg, LDM
12476_Franziska_Knuppe, 12476_Franziska_Knuppe.jpg, LDM
4259_Henry_Cavill, 4259_Henry_Cavill.jpg, ADM
12453_Bea_Arthur, 12453_Bea_Arthur.jpg, DDIM
7168_Alex_Kapranos, 7168_Alex_Kapranos.jpg, DDIM
18378_Van_Heflin, 18378_Van_Heflin.jpg, DDPM
24363_Mark_Harmon, 24363_Mark_Harmon.jpg, ADM
14266_Kate_Middleton, 14266_Kate_Middleton.jpg, PNDM
3326_Angel_Coulby, 3326_Angel_Coulby.jpg, ADM
18766_Alfre_Woodard, 18766_Alfre_Woodard.jpg, PNDM
366_Joanna_JoJo_Levesque, 366_Joanna_JoJo_Levesque.jpg, DDIM
4236_Frankie_Rayder, 4236_Frankie_Rayder.jpg, DDPM
11421_Mathias_Lauridsen, 11421_Mathias_Lauridsen.jpg, DDPM
5136_Susan_Oliver, 5136_Susan_Oliver.jpg, DDIM
12939_Aracely_Arambula, 12939_Aracely_Arambula.jpg, LDM
2492_Masiela_Lusha, 2492_Masiela_Lusha.jpg, ADM
6504_Bade_Iscil, 6504_Bade_Iscil.jpg, DDPM
3841_Nina_Bott, 3841_Nina_Bott.jpg, LDM
3168_Felicitas_Woll, 3168_Felicitas_Woll.jpg, PNDM
2862_Lamorne_Morris, 2862_Lamorne_Morris.jpg, DDPM
21253_Chiaki_Takahashi, 21253_Chiaki_Takahashi.jpg, PNDM
19279_Carlos_Tevez, 19279_Carlos_Tevez.jpg, LDM
1727_Monica_Keena, 1727_Monica_Keena.jpg, PNDM
6968_Princesa_Letizia_de_Asturias, 6968_Princesa_Letizia_de_Asturias.jpg, LDM
8645_Liam_James, 8645_Liam_James.jpg, PNDM
21179_Derrick_Rose, 21179_Derrick_Rose.jpg, ADM
1849_Lisa_Seiffert, 1849_Lisa_Seiffert.jpg, DDPM
19446_Jaya_Bachchan, 19446_Jaya_Bachchan.jpg, DDPM
24075_Ivana_Saccani, 24075_Ivana_Saccani.jpg, LDM
14659_Noah_Hathaway, 14659_Noah_Hathaway.jpg, PNDM
6078_Holly_Valance, 6078_Holly_Valance.jpg, DDIM
20660_Attila_Dolhai, 20660_Attila_Dolhai.jpg, DDPM
26256_Perrey_Reeves, 26256_Perrey_Reeves.jpg, PNDM
21246_Missy_Rayder, 21246_Missy_Rayder.jpg, PNDM
9916_Kathy_Griffin, 9916_Kathy_Griffin.jpg, ADM
12615_Daniela_Di_Giacomo, 12615_Daniela_Di_Giacomo.jpg, DDIM
10346_Natalie_Wood, 10346_Natalie_Wood.jpg, DDPM
26292_Flavia_Alessandra, 26292_Flavia_Alessandra.jpg, ADM
5204_Paul_Adelstein, 5204_Paul_Adelstein.jpg, DDIM
3086_Michele_Williams, 3086_Michele_Williams.jpg, DDPM
13583_Yesica_Toscanini, 13583_Yesica_Toscanini.jpg, ADM
12642_Hofit_Golan, 12642_Hofit_Golan.jpg, DDIM
29163_Cody_Linley, 29163_Cody_Linley.jpg, DDPM
175_Snejana_Onopka, 175_Snejana_Onopka.jpg, DDIM
28020_Leah_Gibson, 28020_Leah_Gibson.jpg, PNDM
14719_Ricky_Ullman, 14719_Ricky_Ullman.jpg, LDM
